1,3,3,1,1
1,6,6,2,2
-3,6,9,3,2
3,9,12,4,5
0,10,15,5,6
-3,10,18,6,7
0,11,21,7,8
1,14,24,8,11
-1,14,27,9,12
0,15,30,10,15
3,18,33,11,17
